,StationId,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
975631,DL030,2017-09-06 14:00:00,78.47,,2.9,5.61,8.51,,0.84,,22.56,0.0,,0.0,139.0,Satisfactory
975632,DL030,2017-09-06 15:00:00,72.08,,2.87,5.62,8.48,,0.84,,22.95,0.0,,0.0,139.0,Satisfactory
975633,DL030,2017-09-06 16:00:00,,,,,,,,,,,,,139.0,Satisfactory
975634,DL030,2017-09-06 17:00:00,,,,,,,,,,,,,139.0,Satisfactory
975635,DL030,2017-09-06 18:00:00,,,,,,,,,,,,,139.0,Satisfactory
975636,DL030,2017-09-06 19:00:00,,,,,,,,,,,,,139.0,Satisfactory
975637,DL030,2017-09-06 20:00:00,,,,,,,,,,,,,139.0,Satisfactory
975638,DL030,2017-09-06 21:00:00,,,,,,,,,,,,,139.0,Satisfactory
975639,DL030,2017-09-06 22:00:00,,,,,,,,,,,,,139.0,Satisfactory
975640,DL030,2017-09-06 23:00:00,,,,,,,,,,,,,139.0,Satisfactory
975641,DL030,2017-09-07 00:00:00,,,,,,,,,,,,,139.0,Satisfactory
975642,DL030,2017-09-07 01:00:00,,,,,,,,,,,,,139.0,Satisfactory
975643,DL030,2017-09-07 02:00:00,,,,,,,,,,,,,139.0,Satisfactory
975644,DL030,2017-09-07 03:00:00,,,,,,,,,,,,,139.0,Satisfactory
975645,DL030,2017-09-07 04:00:00,,,,,,,,,,,,,139.0,Satisfactory
975646,DL030,2017-09-07 05:00:00,,,,,,,,,,,,,139.0,Satisfactory
975647,DL030,2017-09-07 06:00:00,,,,,,,,,,,,,139.0,Satisfactory
975648,DL030,2017-09-07 07:00:00,,,,,,,,,,,,,139.0,Satisfactory
975649,DL030,2017-09-07 08:00:00,,,,,,,,,,,,,139.0,Satisfactory
975650,DL030,2017-09-07 09:00:00,,,,,,,,,,,,,139.0,Satisfactory
975651,DL030,2017-09-07 10:00:00,,,,,,,,,,,,,139.0,Satisfactory
975652,DL030,2017-09-07 11:00:00,,,,,,,,,,,,,139.0,Satisfactory
975653,DL030,2017-09-07 12:00:00,64.41,103.38,2.9,5.63,8.54,,0.86,,22.97,0.0,0.0,,139.0,Satisfactory
975654,DL030,2017-09-07 13:00:00,60.62,97.31,2.87,5.62,8.49,,0.86,,22.22,0.0,0.0,,139.0,Satisfactory
975655,DL030,2017-09-07 14:00:00,54.38,87.28,2.87,5.62,8.49,,0.86,,21.26,0.0,0.0,,139.0,Satisfactory
975656,DL030,2017-09-07 15:00:00,60.36,96.9,2.88,5.61,8.48,,0.85,,21.26,0.0,0.0,,139.0,Satisfactory
975657,DL030,2017-09-07 16:00:00,64.34,103.28,2.9,5.62,8.51,,0.88,,22.86,0.0,0.0,,139.0,Satisfactory
975658,DL030,2017-09-07 17:00:00,65.9,105.79,2.9,5.62,8.51,,0.88,,22.13,0.0,0.0,,139.0,Satisfactory
975659,DL030,2017-09-07 18:00:00,68.78,110.4,2.86,5.6,8.46,,0.87,,22.03,0.0,0.0,,139.0,Satisfactory
975660,DL030,2017-09-07 19:00:00,59.12,94.9,2.88,5.62,8.51,,0.87,,20.28,0.0,0.0,,139.0,Satisfactory
975661,DL030,2017-09-07 20:00:00,60.82,97.63,2.89,5.6,8.49,,0.89,,22.42,0.0,0.0,,139.0,Satisfactory
975662,DL030,2017-09-07 21:00:00,71.26,114.38,2.87,5.62,8.49,,0.92,,24.44,0.0,0.0,,139.0,Satisfactory
975663,DL030,2017-09-07 22:00:00,84.08,134.95,2.89,5.61,8.5,,0.93,,25.93,0.0,0.0,,139.0,Satisfactory
975664,DL030,2017-09-07 23:00:00,78.78,126.46,2.86,5.61,8.47,,0.94,,23.53,0.0,0.0,,139.0,Satisfactory
975665,DL030,2017-09-08 00:00:00,75.95,121.92,2.88,5.59,8.47,,0.95,,20.22,0.0,0.0,,139.0,Satisfactory
975666,DL030,2017-09-08 01:00:00,73.95,118.7,2.89,5.6,8.49,,0.98,,26.13,0.0,0.0,,139.0,Satisfactory
975667,DL030,2017-09-08 02:00:00,62.98,101.09,2.88,5.6,8.49,,1.01,,26.6,0.0,0.0,,139.0,Satisfactory
